"temperature","humidity","pressure","image"
68,65,29.63,0
63,78,29.64,0
61,83,29.64,0
60,86,29.65,0
59,87,29.65,0
61,87,29.66,0
61,87,29.68,0
65,84,29.69,0
73,66,29.71,0
78,50,29.71,0
81,47,29.72,0
83,42,29.71,0
84,43,29.7,0
88,30,29.69,0
87,32,29.68,0
88,31,29.66,0
88,31,29.66,0
87,35,29.66,0
86,36,29.66,0
79,48,29.67,0
72,64,29.69,0
70,68,29.71,0
68,76,29.72,0
67,79,29.73,0
64,87,29.74,0
64,87,29.75,0
63,90,29.75,1
63,87,29.77,1
60,93,29.79,1
63,90,29.81,1
66,78,29.84,1
69,65,29.86,1
71,59,29.87,1
75,53,29.88,1
77,54,29.88,1
81,49,29.88,1
83,46,29.87,1
84,43,29.86,1
87,39,29.85,1
85,43,29.84,0
84,43,29.84,0
84,44,29.84,0
82,49,29.84,0
79,56,29.85,0
76,67,29.86,0
76,67,29.87,0
75,71,29.88,0
73,79,29.89,0
73,79,29.9,0
72,81,29.9,0
71,84,29.9,0
71,84,29.9,0
71,84,29.9,0
72,81,29.9,0
71,84,29.91,0
71,87,29.91,0
70,87,29.9,0
71,87,29.91,0
69,90,29.91,0
69,90,29.92,0
71,87,29.92,0
70,90,29.92,0
75,82,29.92,0
77,79,29.92,0
78,74,29.93,0
77,79,29.93,0
82,62,29.92,0
83,58,29.9,0
84,58,29.9,0
84,56,29.88,0
86,53,29.86,0
87,51,29.84,0
87,49,29.82,0
86,53,29.82,0
83,58,29.8,0
79,64,29.8,0
78,68,29.82,0
76,69,29.83,0
75,66,29.83,0
74,71,29.83,0
73,76,29.83,0
71,81,29.83,0
70,84,29.82,0
70,84,29.82,0
69,87,29.81,0
70,87,29.81,0
69,87,29.81,0
72,84,29.82,0
75,79,29.82,0
79,72,29.82,0
83,63,29.81,0
87,53,29.79,0
87,51,29.78,0
87,51,29.76,0
89,46,29.73,0
87,51,29.71,0
87,51,29.7,0
86,51,29.7,0
84,56,29.7,0
82,60,29.71,0
81,60,29.73,0
79,62,29.74,0
79,60,29.74,0
77,64,29.74,0
76,64,29.74,0
75,66,29.73,0
73,73,29.73,0
73,73,29.72,0
73,73,29.72,0
73,73,29.72,0
72,78,29.73,0
73,79,29.75,0
75,76,29.75,0
76,76,29.74,0
78,71,29.75,0
81,69,29.74,0
84,63,29.73,0
84,61,29.71,0
78,74,29.7,0
82,69,29.69,0
79,77,29.7,0
82,65,29.68,0
83,60,29.68,0
79,69,29.68,0
77,79,29.67,0
76,82,29.67,0
77,79,29.67,0
75,84,29.68,0
75,84,29.68,0
75,84,29.68,0
75,84,29.67,0
73,93,29.67,0
73,93,29.66,0
73,93,29.65,0
72,97,29.63,0
72,97,29.6,0
72,97,29.61,0
72,97,29.62,0
73,93,29.58,0
73,93,29.59,0
72,97,29.58,0
72,93,29.59,0
72,93,29.59,0
72,93,29.59,0
72,93,29.6,0
72,93,29.59,0
74,87,29.61,0
77,79,29.62,0
75,84,29.61,0
80,71,29.61,0
83,63,29.61,0
85,55,29.6,0
85,57,29.59,0
86,55,29.57,0
84,55,29.57,0
84,53,29.58,0
82,60,29.59,0
80,67,29.61,0
77,79,29.62,0
74,85,29.64,0
73,87,29.64,0
73,87,29.64,0
72,91,29.63,0
72,91,29.63,0
72,91,29.62,1
72,91,29.63,1
72,87,29.61,1
71,90,29.62,1
71,90,29.61,1
