temperature,humidity,image
68,65,0
63,78,0
61,83,0
60,86,0
59,87,0
61,87,0
61,87,0
65,84,0
73,66,0
78,50,0
81,47,0
83,42,0
84,43,0
88,30,0
87,32,0
88,31,0
88,31,0
87,35,0
86,36,0
79,48,0
72,64,0
70,68,0
68,76,0
67,79,0
64,87,0
64,87,0
63,90,0
63,87,0
60,93,0
63,90,0
66,78,0
69,65,0
71,59,0
75,53,0
77,54,1
81,49,0
83,46,0
84,43,1
87,39,0
85,43,0
84,43,0
84,44,0
82,49,0
79,56,0
76,67,0
76,67,0
75,71,0
73,79,0
73,79,0
72,81,0
71,84,0
71,84,0
71,84,0
72,81,0
71,84,0
71,87,0
70,87,0
71,87,0
69,90,0
69,90,0
71,87,0
70,90,0
75,82,0
77,79,0
78,74,0
77,79,0
82,62,0
83,58,0
84,58,0
84,56,0
86,53,0
87,51,0
87,49,0
86,53,0
83,58,0
79,64,0
78,68,0
76,69,0
75,66,0
74,71,0
73,76,0
71,81,0
70,84,0
70,84,0
69,87,0
70,87,0
69,87,0
72,84,0
75,79,0
79,72,0
83,63,0
87,53,0
87,51,0
87,51,0
89,46,0
87,51,0
87,51,0
86,51,0
84,56,0
82,60,0
81,60,0
79,62,0
79,60,0
77,64,0
76,64,0
75,66,0
73,73,0
73,73,0
73,73,0
73,73,0
72,78,0
73,79,0
75,76,0
76,76,0
78,71,0
81,69,0
84,63,0
84,61,0
78,74,0
82,69,0
79,77,0
82,65,0
83,60,0
79,69,0
77,79,0
76,82,0
77,79,0
75,84,0
75,84,0
75,84,0
75,84,0
73,93,0
73,93,0
73,93,0
72,97,0
72,97,0
72,97,0
72,97,0
73,93,0
73,93,0
72,97,0
72,93,0
72,93,0
72,93,0
72,93,0
72,93,0
74,87,0
77,79,0
75,84,0
80,71,0
83,63,0
85,55,0
85,57,0
86,55,0
84,55,0
84,53,0
82,60,0
80,67,0
77,79,0
74,85,0
73,87,0
73,87,0
72,91,0
72,91,0
72,91,0
72,91,0
72,87,1
71,90,0
71,90,0
72,87,0
70,97,0
71,93,0
70,97,0
70,97,0
71,90,0
71,93,0
70,97,0
71,93,0
71,93,0
71,93,0
71,93,0
71,93,0
71,93,0
71,93,0
71,93,0
71,93,0
71,93,0
71,93,0
72,91,0
72,91,0
72,91,0
72,93,0
74,87,0
73,90,0
74,87,0
74,85,0
75,82,0
76,79,0
73,84,1
73,90,0
73,90,0
72,93,0
72,93,0
73,90,0
74,85,0
73,84,0
71,90,0
72,84,0
71,90,0
71,87,0
70,87,0
69,90,0
69,90,0
69,90,0
69,90,0
68,93,0
69,90,0
69,90,0
69,87,0
69,87,0
69,87,0
69,87,0
68,90,1
68,90,1
68,90,1
68,87,1
69,87,0
70,84,0
73,73,1
73,73,0
74,71,0
75,69,0
74,68,0
75,66,0
75,66,0
78,60,0
79,56,0
78,54,0
77,56,0
76,60,0
72,68,0
67,84,0
65,90,0
64,93,0
66,87,0
63,93,0
63,93,0
62,93,0
63,93,0
61,93,0
60,96,0
61,97,0
66,90,0
71,78,0
74,71,0
78,58,0
79,52,0
80,52,0
81,49,0
82,47,0
82,45,0
82,42,0
81,36,0
80,38,0
77,46,0
73,55,0
69,63,0
68,65,0
65,73,0
67,73,0
