Day,Month,Year,Hour,No Image or Poor Image,Low/Mid Clouds (%),High Cirrus (%),Long-lived Contrails (Count),Contrail-Cirrus (Count),Day Low/Mid,Day Count Cirrs,Day Count Cont LL,Day Count Cont-Cirrus,,,,,,,,,,,,,,,,,,,,
21,12,22,24,1,,,,,,,,,,Total Images,2681,,Total Days,114.9090909,,Flights per day,594,,,,,,,,,,,
21,12,22,23,1,,,,,,,,,,No Image,1417,,Total Daylight Hours with Images,1264,,Total Flights,68256,,,,,,,,,,,
21,12,22,22,1,,,,,,,,,,Images,1264,,,,,Contrails per flight,0.014797234,67.58019802,,,,,,,,,,
21,12,22,21,1,,,,,,,,,,Days,114.9090909,,,,,,,,,,,,,,,,,
21,12,22,20,1,,,,,,,,,,,,,Low/Mid,,High Cirrus,,,,Long-lived Contrails Count per Image,%,,Contrail-Cirrus Count per Image,%,,,,0,0.661257606
21,12,22,19,1,,,,,,,,,,,,0,652,66%,896,85%,,0,954,0.944554455,0,952,0.939782823,,,,10,0.04158215
21,12,22,18,1,,,,,,,,,,,,10,41,4%,50,5%,,1,28,0.027722772,1,22,0.02171767,,,,20,0.034482759
21,12,22,17,,0,0,0,0,0,1,1,0,,What time of Day,,20,34,3%,30,3%,,2,15,0.014851485,2,10,0.009871668,,,,30,0.045638945
21,12,22,16,,0,0,0,0,,,,,,Before or After clouds,,30,45,5%,28,3%,,3,3,0.002970297,3,15,0.014807502,,,,40,0.010141988
21,12,22,15,,0,20,0,0,,,,,,,,40,10,1%,7,1%,,4,8,0.007920792,4,9,0.008884501,,,,50,0.032454361
21,12,22,14,,0,0,0,0,,,,,,655,,50,32,3%,14,1%,,5,2,0.001980198,5,5,0.004935834,,,,60,0.014198783
21,12,22,13,,0,0,0,0,,,,,,1417,,60,14,1%,3,0%,,6,0,0,6,0,0,,,,70,0.035496957
21,12,22,12,,0,0,0,0,,,,,,-762,,70,35,4%,12,1%,,,1010,,,1013,,2023,,,80,0.03346856
21,12,22,11,,0,0,1,0,,,,,,,,80,33,3%,9,1%,,,56,,,61,,,,,90,0.09127789
21,12,22,10,,0,30,0,0,,,,,,,,90,90,9%,6,1%,,% Hours with LLC,0.055445545,,% Hours with CC,0.060217177,,,,,100,0
21,12,22,9,,0,70,0,0,,,,,,,,100,0,0%,0,0%,,,,,,,,,,,,
21,12,22,8,,0,15,1,0,,,,,,,,,986,,1055,,,,,,,,,,,,,
21,12,22,7,,0,0,1,0,,,,,,Questions,,,,,Days,Hours,% Days,% Daylight Hours,,Non Blank Hours,,,,,,,,
21,12,22,6,1,,,,,,,,,,How many days/hours had NO Clouds at any time in the day,,,,,19,393,0.165348101,0.310917722,,,,,,,,,,
21,12,22,5,1,,,,,,,,,,How many days/hours had low/mid clouds at one hour of the day,,,,,85,696,0.73971519,0.550632911,,,,,,,,,,
21,12,22,4,1,,,,,,,,,,How many days/hours had cirrus clouds at one hour of the day,,,,,40,166,0.348101266,0.131329114,,,,,,,,,,
21,12,22,3,1,,,,,,,,,,How many days had at ;east one Contrails (long-lived) at one hour of the day,,,,,22,57,0.191455696,0.045094937,,,,,,,,,,
21,12,22,2,1,,,,,,,,,,How many days had at least one Contrails (cirrus-contrails),,,,,17,61,0.147943038,0.048259494,,,,,,,,,,
21,12,22,1,1,,,,,,,,,,"When contrails were present, how many were there",,,,,,,,,,,,,,,,,,
20,12,22,24,1,,,,,,,,,,When contrails are present how long did they last,,,,,,,,,,,,,,,,,,
20,12,22,23,1,,,,,,,,,,What time of day were contrails present (and how long did they last),,,,,,,,,,,,,,,,,,
20,12,22,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,12,22,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,12,22,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,12,22,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,12,22,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,12,22,17,,100,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,
20,12,22,16,,90,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
20,12,22,15,,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
20,12,22,14,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
20,12,22,13,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
20,12,22,12,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
20,12,22,11,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
20,12,22,10,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
20,12,22,9,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
20,12,22,8,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
20,12,22,7,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
